material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements,stability_raw,band_gap_raw,density_raw,final_score,stability_score,band_gap_score,density_score,rag_status
mp-557559,S,0.030134763973215,2.496299999999999,1.9967415772703832,746.6490425344975,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9707467750559299,2.496299999999999,0.6996741577270383,0.628073330296238,0.676680083525639,0.4992599999999998,0.6997764426670924,Amber
mp-583072,S,0.026070752379808,2.4672,1.891140539338963,2928.126783960359,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9745916621058138,2.4672,0.6891140539338962,0.6454627189777273,0.7191755199159378,0.49344000000000005,0.6892147950987922,Amber
mp-83,S,0.028929664687501,2.5729,1.995403131603992,1494.2997364741343,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9718837295877873,2.5729,0.6995403131603992,0.6389256261735955,0.689246220933672,0.51458,0.6996425785337974,Amber
mp-7,S,0.051236192187499,2.1651,2.090794644321832,152.79889506945906,Trigonal,S,16.0,2.58,100.0,32.06,1,0.951261008165175,2.1651,0.7090794644321832,0.5023998977097879,0.4613145456882517,0.43301999999999996,0.7091831243283105,Amber
mp-557031,S,0.0336984834375,2.0442,1.9948892690195832,854.1055156784778,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9674000842823742,2.0442,0.6994889269019583,0.5824157061779021,0.6396909384505118,0.40884000000000004,0.6995911847632306,Amber
mp-557376,S,0.026719425187501,2.1627,1.928605736673433,552.1624687973816,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9739759231860045,2.1627,0.6928605736673433,0.6245394194902657,0.7123700939670581,0.43254000000000004,0.6929618625336831,Amber
mp-555760,S,0.029379828298612,2.2718,2.054793093048255,233.2140733904172,Trigonal,S,16.0,2.58,100.0,32.06,1,0.9714587099038342,2.2718,0.7054793093048255,0.6196988438408749,0.6845487105231651,0.45436,0.705582442896462,Amber
mp-555915,S,0.013625012604167,2.574799999999999,1.950386762598011,1965.586216616651,Orthorhombic,S,16.0,2.58,100.0,32.06,1,0.9865581330030894,2.574799999999999,0.6950386762598011,0.7192332498894227,0.8514343863621914,0.5149599999999998,0.6951402835416356,Green
mp-561513,S,0.018545667901785,2.4646,1.866915008707064,798.5715364141056,Triclinic,S,16.0,2.58,100.0,32.06,1,0.9817920114078053,2.4646,0.6866915008707064,0.684612901448108,0.7987570477425994,0.49292,0.6867918878840418,Amber
mp-561370,S,0.027740434687499,2.4117,1.888966053151486,2480.4978859920143,Orthorhombic,S,16.0,2.58,100.0,32.06,1,0.9730083260799854,2.4117,0.6888966053151486,0.6333393487780815,0.7016757716796178,0.48234000000000005,0.688997314691363,Amber
mp-1196831,S,0.010508632,2.3162000000000003,1.650829825410852,2580.287049595476,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.989600650932391,2.3162000000000003,0.6650829825410852,0.7145388796918927,0.8850616751364839,0.4632400000000001,0.6651802106182535,Green
mp-1977409,S,0.0063238905625,2.5977,1.930321848917389,2206.6863212383805,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9937158497161732,2.5977,0.6930321848917389,0.7597610595044779,0.9305447194706282,0.51954,0.6931334988458192,Green
mp-557869,S,0.0003716303125,2.3843,1.8882349578149424,1353.5227071072102,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9996285077452827,2.3843,0.6888234957814943,0.7787898884073914,0.9958940990268346,0.47686000000000006,0.6889241944698704,Green
mp-666931,S,0.0207263703125,2.603399999999999,1.4696555619989131,1159.350511707649,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9796944892232435,2.603399999999999,0.6469655561998913,0.6734031675177771,0.7755742807549506,0.5206799999999998,0.6470601357015094,Amber
mp-558014,S,0.010299026770834,2.1763,1.9221986817008632,664.8035179939542,Orthorhombic,S,16.0,2.58,100.0,32.06,1,0.989805961900456,2.1763,0.6922198681700863,0.7127076452347127,0.8873308651205942,0.43526,0.6923210633720785,Green
mp-558964,S,0.013946019062501,2.5982000000000003,1.8680217915497672,2280.281118166013,Orthorhombic,S,16.0,2.58,100.0,32.06,1,0.9862457973103977,2.5982000000000003,0.6868021791549768,0.7172636717478226,0.8479823105563238,0.5196400000000001,0.6869025823483033,Green
mp-77,S,0.0,2.5807,1.9196195297959864,887.5956414230244,Orthorhombic,S,16.0,2.58,100.0,32.06,1,1.0,2.5807,0.6919619529795986,0.7932546220954252,1.0,0.51614,0.6920631104771259,Green
mp-994911,S,0.0421966871875,3.3265,0.073554033428319,5791.136965649507,Tetragonal,S,16.0,2.58,100.0,32.06,1,0.9595117815031892,3.3265,0.5073554033428319,0.5773288329729915,0.5525058366175752,0.6653,0.5074295733210195,Amber
mp-1195198,H3S,0.010304153125,4.3472,1.041383987350392,447.6070853299238,Triclinic,"H, S",8.5,2.39,62.5,16.534000000000002,2,0.9898009395555506,4.3472,0.6041383987350393,0.8253150214149473,0.8872753558856843,0.86944,0.6042267173605259,Green
mp-32868,Ag2S,0.057333213888888,0.6242999999999991,6.338404497074927,194.75748462317284,Triclinic,"Ag, S",31.5,2.255,130.0,69.9641,2,0.9457756427815073,0.6242999999999991,0.8661595502925074,0.41105913389836035,0.40068779834433776,0.12485999999999982,0.8662861736309577,Amber
mp-33024,H2S,0.008091198749999,4.0901,1.228520214773911,184.26276420537872,Triclinic,"H, S",8.5,2.39,62.5,16.534000000000002,2,0.9919737432882741,4.0901,0.6228520214773912,0.825639699519467,0.911290168704527,0.81802,0.6229430758360176,Green
mp-723352,Li2S,0.081990143030304,1.9206999999999992,1.6511715701994891,508.2843531047319,Triclinic,"Li, S",9.5,1.78,122.5,19.5,2,0.9242228373719965,1.9206999999999992,0.6651171570199489,0.32952308443187595,0.16247641282652658,0.38413999999999987,0.6652143900930635,Red
mp-1078696,PbS,0.0826696325,0.7479999999999991,6.490216639031639,244.8663284246417,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2,0.9236427899902327,0.7479999999999991,0.850978336096836,0.29313328099659425,0.15606546595206616,0.14959999999999982,0.8511027401028061,Red
mp-1087486,PbS,0.081897287499999,1.223799999999999,6.288228057126069,252.73185142819543,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2,0.9243021602455038,1.223799999999999,0.871177194287393,0.32936547284008083,0.16335312521929346,0.24475999999999984,0.8713045511521708,Red
mp-2025704,Ag2S,0.013338436666664,1.0891,6.046580348456434,136.10466800899007,Monoclinic,"Ag, S",31.5,2.255,130.0,69.9641,2,0.986837135369561,1.0891,0.8953419651543566,0.6716995944908783,0.854518047120834,0.21782,0.8954728546523069,Amber
mp-556225,Ag2S,2.027000000026646e-05,1.0853,6.697040973874489,122.88528831267232,Monoclinic,"Ag, S",31.5,2.255,130.0,69.9641,2,0.9999797304108643,1.0853,0.8302959026125512,0.7310894422647432,0.9997759713030323,0.21706,0.830417283066135,Green
mp-7819,Pd4S,0.002573407999999,0.0,10.165853472077288,149.54050973262704,Tetragonal,"Pd, S",31.0,2.39,120.0,69.24000000000001,2,0.9974331974302683,0.0,0.48341465279227125,0.5825123312011263,0.9716305332475805,0.0,0.4834853228866802,Amber
mp-1225993,Cu2S,0.061917154375001,1.2158,3.478881184761393,151.93759268382877,Monoclinic,"Cu, S",22.5,2.24,117.5,47.803,2,0.9416930462796387,1.2158,0.8478881184761393,0.42033295875702215,0.3555650892240152,0.24316000000000002,0.8480120707250727,Amber
mp-2014814,Cu2S,0.072544916458332,0.9229,4.432904368398873,119.23849208518529,Monoclinic,"Cu, S",22.5,2.24,117.5,47.803,2,0.9323618849475472,0.9229,0.9432904368398873,0.3702760971445093,0.2524328599307051,0.18458000000000002,0.9434283358957838,Red
